part,incorrect_attempt,part,incorrect_attempt,part,incorrect_attempt,part,incorrect_attempt,part,incorrect_attempt,part,incorrect_attempt
1,,2,,3,,4,,5,,6,
1,,2,,3,,4,"C(10,9)/2^10",5,,6,
1,,2,,3,(2^9)/(9),4,((2^9)/(9))/(2^9),5,,6,
1,,2,1/2^9,3,,4,,5,,6,
1,9,2,,3,,4,,5,,6,
1,81,2,,3,,4,,5,,6,
1,10,2,1/2,3,9,4,,5,,6,
1,,2,,3,2^9,4,(1/2)^9,5,,6,
1,,2,,3,,4,,5,,6,
1,,2,,3,,4,,5,503/512,6,"(C(10,6))*(.5^6)*(.5^4)"
1,,2,1.512,3,,4,,5,,6,
incorrect count
"('part1', 6)","('part2', 7)","('part3', 9)","('part4', 9)","('part5', 10)","('part6', 8)"
